,station_name,station_name_eng,station_address,station_longitude,station_latitude,station_type,geometry
1,กรุงเทพ,Bangkok,อาคารใบหยก 2 เขตราชเทวี กรุงเทพมหานคร ,100.54026999999999,13.7543,M,POINT (100.54027 13.7543)
2,เขาฉลาก,Khao Chalak,เขาฉลาก ถ.สุขุมวิท ต.บางพระ  อ.ศรีราชา จ.ชลบุรี ,100.949558,13.190653,A1,POINT (100.949558 13.190653)
3,พัทยา,Pattaya,เขาพระตำหนัก ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,100.86645,12.921333,A1,POINT (100.86645 12.921333)
4,จอมบึง,Chom Bueng,ต.จอมบึง อ.จอมบึง จ.ราชบุรี,99.613515,13.627185,A2,POINT (99.61351500000001 13.627185)
5,บ่อทอง,Bo Thong,หมู่ที่ 1 ต.บ่อทอง อ.บ่อทอง จ.ชลบุรี,101.44181,13.291820000000001,A2,POINT (101.44181 13.29182)
6,สมุทรสงคราม,Samut Songkhram,50/42 ซ.บางจะเกร็ง 4  ต.แม่กลอง อ.เมือง จ.สมุทรสงคราม,99.994444,13.385428,A2,POINT (99.994444 13.385428)
7,ท่าตะเกียบ,Tha Takiap,หมู่ที่ 18 ต.ท่าตะเกียบ อ.ท่าตะเกียบ จ.ฉะเชิงเทรา ,101.62501999999999,13.47383,A3,POINT (101.62502 13.47383)
8,กาญจนบุรี,Kanchana Buri,17 หมู่ที่ 5 ต.หนองบัว อ.เมือง จ.กาญจนบุรี,99.420556,14.074444,M,POINT (99.420556 14.074444)
9,ไทรโยค,Sai Yok ,ต.ลุ่มสุ่ม อ.ไทรโยค จ.กาญจนบุรี,99.158136,14.125748000000002,A2,POINT (99.158136 14.125748)
10,ทองผาภูมิ,Thong Pha Phum,เขาเสาหงษ์ ต.ท่าขนุน อ.ทองผาภูมิ จ.กาญจนบุรี,98.670663,14.751217,A2,POINT (98.670663 14.751217)
11,สังขละบุรี,Sangkhla Buri,112 หมู่ที่ 2 ต.หนองลู อ.สังขละบุรี จ.กาญจนบุรี ,98.444913,15.13977,A3,POINT (98.444913 15.13977)
12,หนองปรือ,Nong Prue,หมู่ที่ 1 บ้านหนองสาหร่าย อ.หนองปรือ อ.หนองปรือ จ.กาญจนบุรี ,99.464504,14.603817000000001,A3,POINT (99.46450400000001 14.603817)
13,สิงห์บุรี,Singburi,29/1 หมู่ที่ 9 ต.ท่าข้าม อ.ค่ายบางระจัน จ.สิงห์บุรี,100.377004,14.836115,M,POINT (100.377004 14.836115)
14,สุพรรณบุรี,Suphan Buri,228  หมู่ที่ 1 ถ.สุพรรณบุรี-ป่าโมก ต.โคกโคเฒ่า อ.เมือง จ.สุพรรณบุรี ,100.180238,14.463391,A1,POINT (100.180238 14.463391)
15,วังคัน ,Dan Chang 2,ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี,99.666599,14.928687,A1,POINT (99.66659900000001 14.928687)
16,มวกเหล็ก,Muak Lek,เขาแผงม้า ต.มิตรภาพ   อ.มวกเหล็ก จ.สระบุรี ,101.153715,14.652014999999999,A1,POINT (101.153715 14.652015)
17,สระบุรี,Saraburi,ศูนย์การทหารม้า ค่ายอดิสร ต.ปากเพรียว อ.เมือง จ.สระบุรี ,100.921747,14.511464000000002,A1,POINT (100.921747 14.511464)
